shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
AK-13,-6.603380,106.802073,5,0.04,jl.otista
AK-13,-6.580982,106.806668,6,0.05,jl.raya pajajaran
AK-13,-6.593216,106.802558,7,0.06,jl.jalak harupat
AK-13,-6.599226,106.794493,8,0.07,jl.ir.h.djuanda
AK-13,-6.593640,106.792091,9,0.08,ramayana
AK-14,-6.617822,106.813875,1,0,sukasari
AK-14,-6.623341,106.812468,2,0.01,jl.lawang gintung
AK-14,-6.612679,106.802600,3,0.02,jl.pahlawan
AK-14,-6.613369,106.799640,4,0.03,jl.layungsari
AK-14,-6.610744,106.794916,5,0.04,jl.sadane
AK-14,-6.605942,106.792061,6,0.05,jl.r.aria suriawinata
AK-14,-6.603412,106.786082,7,0.06,jl.r.aria surialaga
AK-14,-6.598399,106.779210,8,0.07,jl.r.e.abdullah
AK-14,-6.595354,106.778836,9,0.08,jl.mayjen ishak djuarsa
AK-14,-6.575335,106.752678,10,0.09,jl.letjen ibrahim adjie
AK-14,-6.571403,106.754787,11,0.1,jl.k.h.abdullah bin nuh
AK-14,-6.570229,106.754515,12,0.11,terminal bubulak
AK-15,-6.577129,106.762327,1,0,sbj
AK-15,-6.570229,106.754515,2,0.01,terminal bubulak
AK-15,-6.579284,106.760931,3,0.03,jl.sindang barang
AK-15,-6.584156,106.773165,4,0.04,jl.darul qur’an
AK-15,-6.577290,106.772687,5,0.05,jl.dr.semeru
AK-15,-6.558742,106.773085,6,0.06,jl.mawar
AK-15,-6.588651,106.787758,7,0.07,jl.merdeka
AK-15,-6.592565,106.786766,8,0.08,terminal merdeka
AK-16,-6.590913,106.792644,1,0,pasar anyar
AK-16,-6.591937,106.794486,2,0.01,jl.pengadilan
AK-16,-6.586040,106.796876,3,0.02,jl.jend.sudirman
AK-16,-6.573320,106.796477,4,0.03,jl.pemuda
AK-16,-6.569669,106.796074,5,0.04,kebon pedes
AK-16,-6.550892,106.789959,6,0.05,jl.soleh iskandar
AK-16,-6.524285,106.762747,7,0.06,selabenda
AK-17,-6.577120,106.822752,1,0.01,jl.pangeran sogiri (tanah baru)
AK-17,-6.582531,106.820698,2,0.02,jl.r.kan an (pasar tanah baru)
AK-17,-6.576953,106.818489,3,0.03,jl.pandu raya (r3)
AK-17,-6.599187,106.815516,4,0.04,jl.padi
AK-17,-6.603110,106.810297,5,0.05,jl.bina marga
AK-17,-6.603110,106.810297,6,0.06,bina marga
AK-18,-6.638976,106.791127,1,0,mulyaharja
AK-18,-6.612722,106.798637,2,0.02,empang
AK-18,-6.610677,106.803466,3,0.03,gg.aut
AK-18,-6.604700,106.798673,4,0.04,lawang saketeng
AK-18,-6.593640,106.792091,5,0.05,ramayana
AK-19,-6.570229,106.754515,1,0,terminal bubulak
AK-19,-6.565163,106.774998,2,0.02,jl. yasmin
AK-19,-6.550892,106.789959,3,0.03,jl. soleh iskandar
AK-19,-6.537241,106.769941,4,0.04,jl. kayumanis
AK-19,-6.534300,106.789110,5,0.06,kencana
AK-20,-6.590913,106.792644,1,0,pasar anyar
AK-20,-6.563572,106.802038,2,0.01,jl. kebon pedes
AK-20,-6.550892,106.789959,3,0.02,jl. soleh iskandar
AK-20,-6.534300,106.789110,4,0.03,kencana
AK-01-A,-6.603959,106.806450,1,0,baranangsiang
AK-01-A,-6.603692,106.804496,2,0.01,jl.bangka
AK-01-A,-6.603380,106.802073,3,0.02,jl.otista
AK-01-A,-6.580982,106.806668,4,0.03,pajajaran
AK-01-A,-6.627439,106.824956,5,0.04,jl.tajur
AK-01-A,-6.655322,106.846882,6,0.05,ciawi
AK-21,-6.607312,106.801758,1,0,pasar bogor
AK-21,-6.588842,106.801922,2,0.01,taman kencana
AK-21,-6.575890,106.803391,3,0.02,ciremai ujung
AK-22,-6.571545,106.793631,1,0,pondok rumput
AK-22,-6.583035,106.792493,2,0.01,jl.re martadinata
AK-22,-6.580906,106.796861,3,0.02,air mancur
AK-22,-6.586040,106.796876,4,0.03,jl. jend. sudirman
AK-22,-6.588616,106.794781,5,0.04,jl.sawojajar
AK-22,-6.590913,106.792644,6,0.05,pasar anyar
AK-23,-6.593640,106.792091,1,0,ramayana
AK-23,-6.588842,106.801922,2,0.01,taman kencana
AK-23,-6.565621,106.810168,3,0.02,warung jambu
