shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
AK-02,-6.6077,106.7949,75
AK-02,-6.6060,106.7954,76
AK-02,-6.6046,106.7965,77
AK-02,-6.6038,106.7961,78
AK-03,-6.5969,106.7937,0
AK-03,-6.5963,106.7915,1
AK-03,-6.5959,106.7897,2
AK-03,-6.5958,106.7895,3
AK-03,-6.5955,106.7884,4
AK-03,-6.5956,106.7876,5
AK-03,-6.5953,106.7846,6
AK-03,-6.5944,106.7826,7
AK-03,-6.5963,106.7807,8
AK-03,-6.5961,106.7795,9
AK-03,-6.596113,106.779318,10
AK-03,-6.587779,106.772155,11
AK-03,-6.585932,106.771794,12
AK-03,-6.584891,106.771102,13
AK-03,-6.580286,106.767319,14
AK-03,-6.580519,106.763566,15
AK-03,-6.576235,106.753317,16
AK-03,-6.573609,106.751377,17
AK-03,-6.571011,106.755373,18
AK-03,-6.573609,106.751377,19
AK-03,-6.576235,106.753317,20
AK-03,-6.580519,106.763566,21
AK-03,-6.580286,106.767319,22
AK-03,-6.584891,106.771102,23
AK-03,-6.585932,106.771794,24
AK-03,-6.587779,106.772155,25
AK-03,-6.596113,106.779318,26
AK-03,-6.5961,106.7795,27
AK-03,-6.5963,106.7807,28
AK-03,-6.5944,106.7826,29
AK-03,-6.5953,106.7846,30
AK-03,-6.5956,106.7876,31
AK-03,-6.5932,106.7866,32
AK-03,-6.5931,106.7878,33
AK-03,-6.5955,106.7884,34
AK-03,-6.5958,106.7895,35
AK-03,-6.5959,106.7897,36
AK-03,-6.5963,106.7915,37
AK-03,-6.5969,106.7937,38
AK-03,-6.5945,106.7946,39
AK-03,-6.5930,106.7973,40
AK-03,-6.5935,106.7984,41
AK-03,-6.592262,106.800814,42
AK-03,-6.592667,106.801806,43
AK-03,-6.591937,106.802112,44
AK-03,-6.591191,106.802069,45
AK-03,-6.589918,106.801645,46
AK-03,-6.5893,106.8018,47
AK-03,-6.5888,106.8024,48
AK-03,-6.5884,106.8030,49
AK-03,-6.5883,106.8041,50
AK-03,-6.5886,106.8049,51
AK-03,-6.5922,106.8046,52
AK-03,-6.5959,106.8044,53
AK-03,-6.6009,106.8052,54
AK-03,-6.601624,106.805305,55
AK-03,-6.6043,106.8068,56
AK-03,-6.6017,106.8111,57
