route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AK-01,FULL,AK-01-14-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-15-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-15-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-15-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-15-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-15-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-15-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-16-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-16-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-16-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-16-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-16-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-16-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-17-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-17-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-17-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-17-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-17-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-17-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-18-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-18-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-18-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-18-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-18-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-18-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-19-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-19-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-19-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-19-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-19-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-19-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-20-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-20-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-20-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-20-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-20-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-20-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-21-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-21-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-21-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-21-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-21-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-21-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-22-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-22-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-22-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-22-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-22-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-22-50,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-23-0,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-23-10,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-23-20,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-23-30,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-23-40,AK-01,,,,AK-01,2,2
AK-01,FULL,AK-01-23-50,AK-01,,,,AK-01,2,2

AK-02,FULL,AK-02-0-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-0-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-0-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-0-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-0-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-0-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-1-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-1-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-1-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-1-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-1-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-1-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-2-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-2-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-2-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-2-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-2-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-2-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-3-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-3-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-3-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-3-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-3-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-3-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-4-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-4-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-4-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-4-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-4-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-4-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-5-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-5-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-5-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-5-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-5-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-5-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-6-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-6-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-6-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-6-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-6-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-6-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-7-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-7-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-7-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-7-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-7-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-7-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-8-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-8-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-8-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-8-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-8-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-8-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-9-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-9-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-9-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-9-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-9-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-9-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-10-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-10-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-10-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-10-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-10-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-10-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-11-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-11-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-11-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-11-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-11-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-11-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-12-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-12-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-12-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-12-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-12-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-12-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-13-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-13-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-13-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-13-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-13-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-13-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-14-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-14-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-14-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-14-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-14-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-14-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-15-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-15-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-15-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-15-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-15-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-15-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-16-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-16-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-16-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-16-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-16-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-16-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-17-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-17-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-17-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-17-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-17-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-17-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-18-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-18-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-18-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-18-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-18-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-18-50,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-19-0,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-19-10,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-19-20,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-19-30,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-19-40,AK-02,,,,AK-02,2,2
AK-02,FULL,AK-02-19-50,AK-02,,,,AK-02,2,2
