stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
pajajaran-sobana,,pajajaran-sobana,,-6.5808,106.8067,,,,,,2
lodaya-N,,lodaya-N,,-6.588862,106.805904,,,,,,2
sobana-sungai,,sobana-sungai,,-6.5811,106.8110,,,,,,2
sobana-palapuhraya,,sobana-palapuhraya,,-6.5816,106.8132,,,,,,2
ciparigi-1,,ciparigi-1,,-6.5784,106.8112,,,,,,2
ciparigi-2,,ciparigi-2,,-6.5770,106.8109,,,,,,2
ciparigi-3,,ciparigi-3,,-6.5699,106.8125,,,,,,2
pajajaran-jambudua,,pajajaran-jambudua,,-6.5689,106.8091,,,,,,2
pajajaran-pjjindah,,pajajaran-pjjindah,,-6.6125,106.8130,,,,,,2
pajajaran-durian,,pajajaran-durian,,-6.6161,106.8145,,,,,,2
lippo-n,,lippo-n,,-6.6210,106.8163,,,,,,2
lippo-e,,lippo-e,,-6.6212,106.8164,,,,,,2
lippo-s,,lippo-s,,-6.6214,106.8162,,,,,,2
lippo-w,,lippo-w,,-6.6211,106.8159,,,,,,2
durian-1,,durian-1,,-6.6165,106.8177,,,,,,2
durian-2,,durian-2,,-6.6172,106.8186,,,,,,2
durian-3,,durian-3,,-6.6184,106.8195,,,,,,2
pajajaran-ggmesjid,,pajajaran-ggmesjid,,-6.6175,106.8150,,,,,,2
otista-roda,,otista-roda,,-6.6027,106.7999,,,,,,2
roda-1,,roda-1,,-6.6044,106.8002,,,,,,2
roda-2,,roda-2,,-6.6056,106.8018,,,,,,2
roda-3,,roda-3,,-6.6077,106.8035,,,,,,2
roda-4,,roda-4,,-6.6096,106.8048,,,,,,2
roda-siliwangi,,roda-siliwangi,,-6.6099,106.8045,,,,,,2
siliwangi-jlsukasari,,siliwangi-jlsukasari,,-6.6178,106.8120,,,,,,2
jlsukasari-1,,jlsukasari-1,,-6.6177,106.8123,,,,,,2
jlsukasari-2,,jlsukasari-2,,-6.6176,106.8133,,,,,,2
jlsukasari-pajajaran,,jlsukasari-pajajaran,,-6.6185,106.8153,,,,,,2
pjjindah-1,,pjjindah-1,,-6.6116,106.8149,,,,,,2
pjjindah-2,,pjjindah-2,,-6.6139,106.8169,,,,,,2
pjjindah-3,,pjjindah-3,,-6.6134,106.8173,,,,,,2
pjjindah-4,,pjjindah-4,,-6.6133,106.8179,,,,,,2
pjjindah-5,,pjjindah-5,,-6.6136,106.8182,,,,,,2
pjjindah-6,,pjjindah-6,,-6.6135,106.8187,,,,,,2
pjjindah-7,,pjjindah-7,,-6.6138,106.8188,,,,,,2
pjjindah-8,,pjjindah-8,,-6.6137,106.8193,,,,,,2
pjjindah-9,,pjjindah-9,,-6.6119,106.8188,,,,,,2
pjjindah-bigroad,,pjjindah-bigroad,,-6.6115,106.8198,,,,,,2
pjjindah-bigroadturnnorth,,pjjindah-bigroadturnnorth,,-6.6084,106.8194,,,,,,2
pjjindah-east-1,,pjjindah-east-1,,-6.6113,106.8204,,,,,,2
pjjindah-east-2,,pjjindah-east-2,,-6.6112,106.8211,,,,,,2
pjjindah-bigroadbend,,pjjindah-bigroadbend,,-6.6130,106.8201,,,,,,2
pjjindah-bigroadturnsouth,,pjjindah-bigroadturnsouth,,-6.6135,106.8207,,,,,,2
dewisartika-pengadilan,,dewisartika-pengadilan,,-6.5920,106.7925,,,,,,2
martadinata-airmancur,,martadinata-airmancur,,-6.5813,106.7965,,,,,,2
martadinata-1,,martadinata-1,,-6.5821,106.7932,,,,,,2
martadinata-2,,martadinata-2,,-6.5827,106.7931,,,,,,2
martadinata-3,,martadinata-3,,-6.5832,106.7915,,,,,,2
martadinata-tentpelajar,,martadinata-tentpelajar,,-6.5829,106.7877,,,,,,2
tentpelajar,,tentpelajar,,-6.5729,106.7880,,,,,,2
tentpelajar-cimanggu,,tentpelajar-cimanggu,,-6.5702,106.7877,,,,,,2
rambutan,,rambutan,,-6.618061,106.820295,,,,,,2
banteng-sungai,,banteng-sungai,,-6.624926,106.827982,,,,,,2
katulampa,,katulampa,,-6.627059,106.829010,,,,,,2
banteng-busyro,,banteng-busyro,,-6.622076,106.829696,,,,,,2
banteng-tol,,banteng-tol,,-6.618545,106.833810,,,,,,2
pasirangin-1,,pasirangin-1,,-6.613043,106.837166,,,,,,2
pasirangin-novotel,,pasirangin-novotel,,-6.605049,106.838754,,,,,,2
pahlawan-layungsari,,pahlawan-layungsari,,-6.611869,106.800971,,,,,,2
layungsari-sedane,,layungsari-sedane,,-6.613876,106.795612,,,,,,2
sedane-pahlawan-empang,,sedane-pahlawan-empang,,-6.607388,106.793464,,,,,,2
empang-1,,empang-1,,-6.605165,106.792833,,,,,,2
empang-2,,empang-2,,-6.605183,106.792003,,,,,,2
empang-3,,empang-3,,-6.606617,106.792093,,,,,,2
empang-suryalaga-kapten,,empang-suryalaga-kapten,,-6.607155,106.791768,,,,,,2
suryalaga-1,,suryalaga-1,,-6.606707,106.787853,,,,,,2
suryalaga-2,,suryalaga-2,,-6.606258,106.787672,,,,,,2
suryalaga-3,,suryalaga-3,,-6.603839,106.786590,,,,,,2
suryalaga-4,,suryalaga-4,,-6.600971,106.782981,,,,,,2
suryalaga-5,,suryalaga-5,,-6.600971,106.782981,,,,,,2
suryalaga-ciomas,,suryalaga-ciomas,,-6.601114,106.779535,,,,,,2
batutulis-loop,,batutulis-loop,,-6.618527,106.809262,,,,,,2
batutulis-siliwangi,,batutulis-siliwangi,,-6.616466,106.810326,,,,,,2
cifor-ciampea,,cifor-ciampea,,-6.570302,106.756194,,,,,,2
bubulak-far-exit,,bubulak-far-exit,,-6.569060,106.754987,,,,,,2
cifor-1,,cifor-1,,-6.565829,106.751821,,,,,,2
cifor-2,,cifor-2,,-6.561011,106.749525,,,,,,2
cifor-3,,cifor-3,,-6.559668,106.749246,,,,,,2
cifor-4,,cifor-4,,-6.556833,106.750491,,,,,,2
cifor-5,,cifor-5,,-6.556172,106.750298,,,,,,2
cifor-6,,cifor-6,,-6.555981,106.748259,,,,,,2
cifor-7,,cifor-7,,-6.555512,106.748195,,,,,,2
cifor-8,,cifor-8,,-6.555256,106.745191,,,,,,2
cifor-9,,cifor-9,,-6.552783,106.745126,,,,,,2
cifor-rejoin,,cifor-rejoin,,-6.552101,106.745427,,,,,,2
pinus-1,,pinus-1,,-6.550566,106.745877,,,,,,2
pinus-2,,pinus-2,,-6.550246,106.746328,,,,,,2
pinus-3,,pinus-3,,-6.549052,106.746693,,,,,,2
pinus-4,,pinus-4,,-6.548136,106.746650,,,,,,2
pinus-cangkrang,,pinus-cangkrang,,-6.543830,106.734634,,,,,,2
cangkrang-1,,cangkrang-1,,-6.543531,106.728604,,,,,,2
cangkrang-2,,cangkrang-2,,-6.545194,106.728583,,,,,,2
cangkrang-3,,cangkrang-3,,-6.545300,106.730879,,,,,,2
cangkrang-4,,cangkrang-4,,-6.547608,106.732515,,,,,,2
cangkrang-5,,cangkrang-5,,-6.551040,106.731774,,,,,,2
darulquran-1,,darulquran-1,,-6.583782,106.774363,,,,,,2
darulquran-2,,darulquran-2,,-6.583931,106.777110,,,,,,2
darulquran-3,,darulquran-3,,-6.582887,106.778118,,,,,,2
darulquran-4,,darulquran-4,,-6.581821,106.777153,,,,,,2
darulquran-semeru,,darulquran-semeru,,-6.581309,106.777367,,,,,,2
semeru-1,,semeru-1,,-6.587896,106.784770,,,,,,2
semboja-semeru,,semboja-semeru,,-6.590204,106.786020,,,,,,2
semeru-mawar,,semeru-mawar,,-6.590305,106.786122,,,,,,2
mawar-merdeka,,mawar-merdeka,,-6.589474,106.787731,,,,,,2
merdeka-semeru,,merdeka-semeru,,-6.592841,106.787774,,,,,,2
semeru-pasar,,semeru-pasar,,-6.592495,106.787608,,,,,,2
semeru-pasar-kemerdekaan,,semeru-pasar-kemerdekaan,,-6.593028,106.786514,,,,,,2
kemerdekaan-semboja,,kemerdekaan-semboja,,-6.591259,106.786009,,,,,,2
semboja-1,,semboja-1,,-6.590971,106.785194,,,,,,2
semboja-cempaka,,semboja-cempaka,,-6.590449,106.785462,,,,,,2
sudirman-sawojajar,,sudirman-sawojajar,,-6.588653,106.796967,,,,,,2
sawojajar-cibalok,,sawojajar-cibalok,,-6.588586,106.794769,,,,,,2
cibalok-pabaton,,cibalok-pabaton,,-6.590637,106.794469,,,,,,2
pabaton-turnsouth,,pabaton-turnsouth,,-6.590611,106.793267,,,,,,2
pabaton-ggbaru,,pabaton-ggbaru,,-6.591027,106.793192,,,,,,2
ggbaru-sudirman,,ggbaru-sudirman,,-6.590952,106.797097,,,,,,2
pemuda-hewan,,pemuda-hewan,,-6.573345,106.796486,,,,,,2
pemuda-pedes,,pemuda-pedes,,-6.569892,106.798900,,,,,,2
pedes-bendrightatstart,,pedes-bendrightatstart,,-6.569210,106.799029,,,,,,2
pedes-sungai,,pedes-sungai,,-6.565255,106.801904,,,,,,2
pedes-iskandar,,pedes-iskandar,,-6.561887,106.801968,,,,,,2
iskandar-majujaya,,iskandar-majujaya,,-6.562889,106.797108,,,,,,2
iskandar-ciampea-Y,,iskandar-ciampea-Y,,-6.556041,106.778477,,,,,,2
iskandar-bendright,,iskandar-bendright,,-6.554080,106.776396,,,,,,2
iskandar-kencana,,iskandar-kencana,,-6.537281,106.769948,,,,,,2
iskandar-19-turns-N,,iskandar-19-turns-N,,-6.533870,106.767781,,,,,,2
iskandar-tariganta,,iskandar-tariganta,,-6.520573,106.759450,,,,,,2
iskandar-underloop,,iskandar-underloop,,-6.561578,106.802644,,,,,,2
binamarga-pos,,binamarga-pos,,-6.604458,106.808242,,,,,,2
padi-ramp,,padi-ramp,,-6.597952,106.817587,,,,,,2
ramp-syam,,ramp-syam,,-6.599689,106.817968,,,,,,2
syam-start,,syam-start,,-6.599529,106.818037,,,,,,2
syam-papapia,,syam-papapia,,-6.594696,106.817533,,,,,,2
syam-southturn,,syam-southturn,,-6.593217,106.817139,,,,,,2
syam-tohir,,syam-tohir,,-6.590755,106.816731,,,,,,2
syam-norththturn,,syam-norththturn,,-6.587249,106.816270,,,,,,2
wiradiredja-swingleft,,wiradiredja-swingleft,,-6.590262,106.818536,,,,,,2
wiradiredja-swingright,,wiradiredja-swingright,,-6.589340,106.818504,,,,,,2
wiradiredja-ikhwan,,wiradiredja-ikhwan,,-6.588988,106.820720,,,,,,2
wiradiredja-sogiri,,wiradiredja-sogiri,,-6.588642,106.820998,,,,,,2
sogiri-swingleft,,sogiri-swingleft,,-6.582969,106.822994,,,,,,2
sogiri-swingright,,sogiri-swingright,,-6.582757,106.821951,,,,,,2
tanahbaru-swingleft,,tanahbaru-swingleft,,-6.574123,106.823024,,,,,,2
tanahbaru-swingright,,tanahbaru-swingright,,-6.573590,106.822315,,,,,,2
tanahbaru-tol,,tanahbaru-tol,,-6.569689,106.821972,,,,,,2
tanahbaru-bendright,,tanahbaru-bendright,,-6.556675,106.823099,,,,,,2
tanahbaru-bendleft1,,tanahbaru-bendleft1,,-6.552337,106.824933,,,,,,2
tanahbaru-bendleft2,,tanahbaru-bendleft2,,-6.550355,106.824654,,,,,,2
tanahbaru-bendleft3,,tanahbaru-bendleft3,,-6.549480,106.824054,,,,,,2
tanahbaru-almostthere,,tanahbaru-almostthere,,-6.549161,106.823281,,,,,,2
tanahbaru-cibuluh,,tanahbaru-cibuluh,,-6.548052,106.823131,,,,,,2
syam-turn,,syam-turn,,-6.601805,106.818300,,,,,,2
kapten-Y,,kapten-Y,,-6.610941,106.792398,,,,,,2
to-cibeureum-1,,to-cibeureum-1,,-6.614911,106.792618,,,,,,2
to-cibeureum-2,,to-cibeureum-2,,-6.616909,106.793857,,,,,,2
to-cibeureum-3,,to-cibeureum-3,,-6.616901,106.793838,,,,,,2
to-cibeureum-4,,to-cibeureum-4,,-6.618952,106.794225,,,,,,2
jl-cibeureum-1,,jl-cibeureum-1,,-6.619096,106.794713,,,,,,2
jl-cibeureum-2,,jl-cibeureum-2,,-6.620458,106.794571,,,,,,2
jl-cibeureum-3,,jl-cibeureum-3,,-6.621897,106.793905,,,,,,2
jl-cibeureum--over-river,,jl-cibeureum--over-river,,-6.623186,106.794024,,,,,,2
jl-cibeureum-4,,jl-cibeureum-4,,-6.624819,106.793200,,,,,,2
jl-cibeureum-5,,jl-cibeureum-5,,-6.626151,106.791666,,,,,,2
jl-cibeureum-mekar-sari,,jl-cibeureum-mekar-sari,,-6.628240,106.789992,,,,,,2
jl-cibeureum-meander,,jl-cibeureum-meander,,-6.629897,106.788817,,,,,,2
jl-cibeureum-smallsideroad,,jl-cibeureum-smallsideroad,,-6.631824,106.788418,,,,,,2
jl-cibeureum-backatriver,,jl-cibeureum-backatriver,,-6.632740,106.787023,,,,,,2
jl-cibeureum-backatriveragain,,jl-cibeureum-backatriveragain,,-6.634104,106.786208,,,,,,2
jl-cibeureum-riverbendsright,,jl-cibeureum-riverbendsright,,-6.635682,106.786100,,,,,,2
jl-cibeureum-riverbendsleft,,jl-cibeureum-riverbendsleft,,-6.636257,106.785371,,,,,,2
jl-cibeureum-lastbend,,jl-cibeureum-lastbend,,-6.638964,106.785392,,,,,,2
jl-cibeureum-harmony,,jl-cibeureum-harmony,,-6.640477,106.784856,,,,,,2
jl-junglefest,,jl-junglefest,,-6.641180,106.787238,,,,,,2
ciampea-before-river,,ciampea-before-river,,-6.568074,106.759895,,,,,,2
ciampea-towards-iskandar,,ciampea-towards-iskandar,,-6.557864,106.770624,,,,,,2
kencana-1-bend-right,,kencana-1-bend-right,,-6.536056,106.771761,,,,,,2
kencana-2-bend-left,,kencana-2-bend-left,,-6.536354,106.772963,,,,,,2
kencana-3-over-river,,kencana-3-over-river,,-6.534595,106.776514,,,,,,2
kencana-4-setapak,,kencana-4-setapak,,-6.534382,106.782608,,,,,,2
kencana-5-left,,kencana-5-left,,-6.534467,106.789281,,,,,,2
kencana-6-right,,kencana-6-right,,-6.533593,106.790226,,,,,,2
kencana-corner-kalimurni,,kencana-corner-kalimurni,,-6.533870,106.795933,,,,,,2
kalimurni-1-right,,kalimurni-1-right,,-6.531504,106.796126,,,,,,2
